Dato,Antal Aktive minutter,Kalorier (kcal),Distance (m),Hjertepoint,Hjerteminutter,Gennemsnitlig hastighed (m/s),Højeste hastighed (m/s),Laveste hastighed (m/s),Antal skridt,Varighed af Gang (ms)
2021-08-17,74,334.199785977602,5938.358551025391,65.0,65,1.19758955989561,1.5334374904632568,0.7926458120346069,8243,4337128
2021-08-18,66,285.39643412828445,4448.366196632385,31.0,31,1.2122359852624223,1.3467463254928589,1.1077029705047607,6449,3703775
2021-08-19,79,352.23688554763794,6466.873992919922,71.0,71,1.3338217634542255,1.5009442567825317,1.2396278381347656,8899,4571207
2021-08-20,43,190.2195673584938,3288.073324203491,38.0,38,1.2475990312961884,1.4074156284332275,0.9534094929695129,4614,2468603
2021-08-21,64,284.2400574684143,3795.6049842834473,17.0,17,0.9391519711448629,1.3825801610946655,0.8189362287521362,5725,3688768
2021-08-22,100,447.19861567020416,7740.707901000977,81.0,81,1.14966927226803,1.5635713338851929,0.91266268491745,10819,5803587
2021-08-23,89,407.4735517501831,7858.402153015137,87.0,87,1.4652572274208069,1.5429316759109497,1.387582778930664,10644,5288049
2021-08-24,32,140.97983646392822,2045.7108917236328,20.0,20,1.0166944515569105,1.4825187921524048,0.6644237041473389,2955,1829587
2021-08-25,94,435.9896409511566,7998.401473999023,93.0,93,1.2436024036950628,1.4973682165145874,0.8698086738586426,11014,5658121
2021-08-26,90,413.6886124610901,8056.669213294983,88.0,88,1.151946252587571,1.5509275197982788,0.6594652533531189,10874,5368706
2021-08-27,35,153.95676177740097,2527.2376222610474,22.0,22,1.262637257044282,1.4258098602294922,1.096596360206604,3602,1997997
2021-08-28,177,808.0083906650543,16016.426759719849,227.0,172,1.373568143176255,1.9085403680801392,0.8209889531135559,21415,10486050
2021-08-29,105,483.0557174682617,8791.499755859375,104.0,104,1.4122257366335098,1.4705003499984741,1.3586256504058838,12140,6268928
2021-08-30,97,440.5603241920471,7917.752990722656,88.0,88,1.2122272410819606,1.4896368980407715,1.0452449321746826,10965,5717438
2021-08-31,29,124.99682092666626,1856.6368217468262,16.0,16,1.1979027481668212,1.3827216625213623,0.866016685962677,2724,1622165
2021-09-01,173,787.9333109855652,14430.559761047363,156.0,156,1.2776529257077627,1.5516626834869385,0.9281949996948242,19856,10225523
2021-09-02,109,494.73069727420807,8688.855348110199,103.0,103,1.20156325602712,1.4553240537643433,1.0340157747268677,12122,6420442
2021-09-03,115,520.5378898382187,8408.555730342865,107.0,107,1.2002424308948476,1.3385871648788452,0.9068160057067871,12054,6755359
2021-09-04,131,599.6947638988495,10300.61770439148,122.0,122,1.0628056786419113,1.434008002281189,0.7422105073928833,14463,7782629
2021-09-05,103,475.4299003481865,8471.816523551941,93.0,93,1.237009441838714,1.614448070526123,0.6604111790657043,11651,6169963
2021-09-06,85,389.5781401991844,7402.009748458862,86.0,82,1.291075875709203,1.6512813568115234,0.66988605260849,10073,5055809
2021-09-07,89,405.4541360735893,7660.865807533264,113.0,75,1.2295476876155487,1.7926602363586426,0.6819067001342773,10286,5261842
2021-09-08,101,461.4698347747326,8428.703084945679,92.0,92,1.1592955557297997,1.5292752981185913,0.6384808421134949,11548,5988794
2021-09-09,107,485.6477117538452,8644.85708618164,97.0,97,1.2866461479181082,1.5213630199432373,1.1155602931976318,12012,6302566
2021-09-10,105,474.9187103509903,7462.663646697998,68.0,68,1.0888202586560802,1.3981611728668213,0.7969270944595337,10732,6163329
2021-09-11,87,394.6700668334961,5312.660140991211,13.0,13,1.0036278573786142,1.2499717473983765,0.8279113173484802,8042,5121890
2021-09-12,57,255.2584566473961,3525.5245327949524,23.0,23,0.954278517783084,1.3076093196868896,0.730823278427124,5277,3312655
2021-09-13,69,315.5115966796875,6562.0875244140625,93.0,66,1.3759804047673991,1.9330103397369385,1.2669891119003296,8636,4094599
2021-09-14,92,424.65945053100586,7831.712097167969,92.0,92,1.4170934176545842,1.473742127418518,1.383383870124817,10768,5511082
2021-09-15,21,98.65191996097565,1518.678448677063,21.0,21,0.9496730864048004,1.1926213502883911,0.7067248225212097,2210,1280270
2021-09-16,46,205.29741513729095,3119.8643836975098,36.0,36,1.1426112942267623,1.4866880178451538,0.8828526139259338,4559,2664278
2021-09-17,37,161.72303104400635,2614.617576599121,30.0,30,1.2502079051795283,1.3291375637054443,1.1959737539291382,3750,2098785
2021-09-18,95,435.59564328193665,8115.007093906403,94.0,94,1.4296604593732856,1.4649969339370728,1.3558629751205444,11121,5653008
2021-09-19,91,423.3305678665638,8210.435466766357,122.0,90,1.1878635801520292,1.7856378555297852,0.7958317995071411,11067,5493836
2021-09-20,52,239.4070525765419,4138.935576915741,51.0,51,1.162586088886262,1.4309818744659424,0.7663097381591797,5806,3106941
2021-09-21,50,227.49025738239288,3099.399398803711,,,0.9774782632574929,1.1090338230133057,0.7494281530380249,4679,2952289
2021-09-22,131,595.6051065921783,11049.210580825806,124.0,124,1.3325507976735131,1.4905050992965698,0.7158682942390442,15145,7729555
2021-09-23,114,525.2588064670563,9337.548580169678,110.0,110,1.2680435797792737,1.586804747581482,0.9116277694702148,12984,6816625
2021-09-24,97,448.2961792945862,7827.015312194824,93.0,93,1.2435615682412473,1.407774806022644,0.8815605044364929,10946,5817831
2021-09-25,139,634.318334877491,12163.46142578125,135.0,135,1.485361340121395,1.532970905303955,1.3698722124099731,16510,8231962
2021-09-26,92,420.80682480335236,7610.62891960144,89.0,89,1.0604188695257633,1.4296680688858032,0.6158965826034546,10527,5461084
2021-09-27,118,536.2319803237915,10455.77961730957,113.0,113,1.4547306852480517,1.5657578706741333,1.2405856847763062,14110,6959031
2021-09-28,117,536.1025673151016,9531.386144638062,108.0,108,1.1677199236692042,1.473233699798584,0.6534476280212402,13219,6957352
2021-09-29,94,430.0770082473755,8288.423309326172,92.0,92,1.4252016532926135,1.5683479309082031,1.3192081451416016,11231,5581389
2021-09-30,23,106.5983335673809,1796.0999546051025,21.0,21,1.2668904134957093,1.3911601305007935,1.1667532920837402,2541,1383396
2021-10-01,107,475.82250237464905,6984.293626785278,52.0,52,1.1765009185166573,1.6379302740097046,0.8176789879798889,10225,6175058
